"PUBLICATION_NUMBER","PUBLICATION_DATE","IPO_LOCATION","APPLICATION_TYPE_DESC","APPLICATION_NUMBER","DATE_OF_FILING","TITLE_OF_INVENTION","FIELD_OF_INVENTION","NO_OF_PAGES","NO_OF_CLAIMS","DATE_UPDATED_d_m_y"
"01/2017","06/01/2017","Chennai","PCT NATIONAL PHASE APPLICATION","1001/CHENP/2008","28/02/2008","WIND MILL POWER FLOW CONTROL WITH DUMP LOAD AND POWER CONVERTER","ELECTRICAL","28","10","19/04/2023"
"01/2017","06/01/2017","Delhi","PCT NATIONAL PHASE APPLICATION","1003/DELNP/2009","11/02/2009","""METHOD OF PREPARING A CAKE""","FOOD","27","12","19/04/2023"
"01/2017","06/01/2017","Kolkata","CONVENTION APPLICATION","1006/KOL/2007","17/07/2007","DISTORTION-IMMUNE POSITION TRACKING USING FREQUENCY EXTRAPOLATION","BIOMEDICAL","34","21","19/04/2023"
"01/2017","06/01/2017","Kolkata","CONVENTION APPLICATION","1010/KOL/2007","17/07/2007","PNEUMATICALLY POWERED SURGICAL CUTTING AND FASTENING INSTRUMENT WITH A VARIABLE CONTROL OF THE ACTUATING RATE OF FIRING WITH MECHANICAL POWER ASSIST","BIOMEDICAL","173","10","19/04/2023"
"01/2017","06/01/2017","Chennai","PCT NATIONAL PHASE APPLICATION","1022/CHENP/2009","24/02/2009","CATALYTIC COMPOSITIONS FOR THE HIGHLY SELECTIVE HYDRODEALKYLATION OF ALKYLAROMATIC HYDROCARBONS","CHEMISTRY","33","11","19/04/2023"
"01/2017","06/01/2017","Delhi","PCT NATIONAL PHASE APPLICATION","10230/DELNP/2008","10/12/2008","SUBSTITUTED BETA-PHENYL-ALPHA-HYDROXY PROPANOIC ACID, SYNTHESIS METHOD AND USE THEREOF","CHEMISTRY","50","18","19/04/2023"
"01/2017","06/01/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","1028/MUMNP/2011","20/05/2011","COUNTERFEIT -PROOF VALUE DOCUMENT AND A METHOD FOR VERIFYING THE AUTHENTICITY THEREOF","CHEMISTRY","19","6","19/04/2023"
"01/2017","06/01/2017","Delhi","PCT NATIONAL PHASE APPLICATION","1048/DELNP/2009","12/02/2009","""COMB""","MECHANICAL","13","17","19/04/2023"
"01/2017","06/01/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","1055/KOLNP/2011","10/03/2011","ETHYLENE TETRAMERIZATION CATALYSTS COMPRISING P-N-P LIGANDS","CHEMISTRY","32","11","19/04/2023"
"01/2017","06/01/2017","Chennai","PCT NATIONAL PHASE APPLICATION","1067/CHENP/2008","03/03/2008","WIRELESS TRANSMISSION DEVICE AND WIRELESS TRANSMISSION METHOD","ELECTRONICS","92","40","19/04/2023"
"01/2017","06/01/2017","Chennai","CONVENTION APPLICATION","1077/CHE/2007","23/05/2007","MEASUING A CHARACTERSTIC OF A WELL PROXIMATE A REGION TO BE GRAVEL PACKED","MECHANICAL","31","27","19/04/2023"
"01/2017","06/01/2017","Delhi","CONVENTION APPLICATION","1102/DEL/2007","22/05/2007","""SINGLE PHASE FLUID SAMPLING APPARATUS AND METHOD FOR USE OF SAME""","CIVIL","54","30","19/04/2023"
"01/2017","06/01/2017","Delhi","ORDINARY APPLICATION","1132/DEL/2002","11/11/2002","""A DUEL CATALYST SYSTEM FOR PREPARATION OF SECONDARY ALCOHOLS""","CHEMISTRY","11","8","19/04/2023"
"01/2017","06/01/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","1137/MUMNP/2009","15/06/2009","METHOD FOR THE RECYCLING OF ALL WASTE PLASTICS, IN PARTICULAR MIXED PLASTIC","MECHANICAL","25","21","19/04/2023"
"01/2017","06/01/2017","Delhi","PCT NATIONAL PHASE APPLICATION","115/DELNP/2007","04/01/2007","""RECEIVER APPARATUS AND METHOD OF RELEASING MEMORY OF THE SAME""","ELECTRONICS","36","12","19/04/2023"
"01/2017","06/01/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","1180/KOLNP/2009","27/03/2009","A LOCKING DEVICE FOR AN ANASTOMOTIC DEVICE","BIOMEDICAL","48","15","19/04/2023"
"01/2017","06/01/2017","Delhi","PCT NATIONAL PHASE APPLICATION","1193/DELNP/2009","19/02/2009","""METHOD OF PREPARING A LIPID COMPOSITION""","BIOTECHNOLOGY","131","60","19/04/2023"
"01/2017","06/01/2017","Delhi","ORDINARY APPLICATION","1201/DEL/2008","14/05/2008","POLYOL-ESTERS BASED OF UNDECENOIC AND UNDECANOIC ACIDS AS POTENTIAL LUBRICANT BASE STOCKS","POLYMER","24","12","19/04/2023"
"01/2017","06/01/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","1217/MUMNP/2011","14/06/2011","ADHESIVE COMPOSITION, POLARIZING PLATE AND LIQUID CRYSTAL DISPLAY DEVICE","POLYMER","31","19","19/04/2023"
"01/2017","06/01/2017","Kolkata","CONVENTION APPLICATION","124/KOL/2007","31/01/2007","SURGICAL INSTRUMENT HAVING RECORDING CAPABILITIES","BIOMEDICAL","52","10","19/04/2023"
"01/2017","06/01/2017","Kolkata","CONVENTION APPLICATION","125/KOL/2008","17/01/2008","ISOLATOR","ELECTRICAL","15","8","19/04/2023"
"01/2017","06/01/2017","Kolkata","CONVENTION APPLICATION","1253/KOL/2007","05/09/2007","CORRELATION OF CARDIAC ELECTRICAL MAPS WITH BODY SURFACE MEASUREMENTS","COMPUTER","50","29","19/04/2023"
"01/2017","06/01/2017","Delhi","ORDINARY APPLICATION","1256/DEL/2007","12/06/2007","'AN IMPROVED PROCESS FOR PRODUCING STAVUDINE POLYMORPHIC FORM III'","POLYMER","18","17","19/04/2023"
"01/2017","06/01/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","1257/KOLNP/2009","01/04/2009","METHOD FOR TRANSMITTING GROUP HIGH SPEED DATA FOR A CDMA 2000 TRUNKING COMMUNICATION SYSTEM","ELECTRONICS","18","10","19/04/2023"
"01/2017","06/01/2017","Chennai","ORDINARY APPLICATION","1283/CHE/2005","14/09/2005","HYBRID POWER SYSTEM","ELECTRICAL","10","9","19/04/2023"
"01/2017","06/01/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","1356/MUMNP/2011","30/06/2011","INCORPORATION OF DYE INTO GRANULAR LAUNDRY COMPOSITION","CHEMISTRY","18","7","19/04/2023"
"01/2017","06/01/2017","Chennai","PCT NATIONAL PHASE APPLICATION","1380/CHENP/2009","11/03/2009","PERMANENT MAGNET SYNCHRONIZATION MOTOR VECTOR CONTROL DEVICE","ELECTRICAL","36","9","19/04/2023"
"01/2017","06/01/2017","Delhi","PCT NATIONAL PHASE APPLICATION","1424/DELNP/2009","02/03/2009","""PRESERVATION OF ORGANIC LIQUIDS""","CHEMISTRY","47","26","19/04/2023"
"01/2017","06/01/2017","Kolkata","ORDINARY APPLICATION","1432/KOL/2008","25/08/2008","A DEVICE FOR ON LINE DETERMINATION OF SCR STATUS IN DRIVE SYSTEMS","PHYSICS","13","8","19/04/2023"
"01/2017","06/01/2017","Kolkata","CONVENTION APPLICATION","1476/KOL/2008","28/08/2008","HIGH VOLTAGE POWER SWITCH","ELECTRICAL","15","10","19/04/2023"
"01/2017","06/01/2017","Chennai","ORDINARY APPLICATION","1479/CHE/2007","09/07/2007","A METHOD OF USING A MOBILE DEVICE TO MONITOR OCCURRENCE OF A PLURALITY OF EVENTS IN AN EXTERNAL MEDIA DEVICE","ELECTRONICS","24","8","19/04/2023"
"01/2017","06/01/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","1483/MUMNP/2009","07/08/2009","""DECONTAMINATION, STRIPPING AND /OR DEGREASING FOAM CONTAINING SOLID PARTICLES""","CHEMISTRY","42","26","19/04/2023"
"01/2017","06/01/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","151/KOLNP/2009","13/01/2009","METHOD OF AND APPARATUS FOR MANUFACTURING INSULATED ELECTRIC WIRE","ELECTRICAL","43","19","19/04/2023"
"01/2017","06/01/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","1531/MUMNP/2009","17/08/2009","MALODOR REDUCTION OF COSMETIC PRODUCTS","CHEMISTRY","19","19","19/04/2023"
"01/2017","06/01/2017","Delhi","ORDINARY APPLICATION","1549/DEL/2003","15/12/2003","""A SPRAYABEL BIOPESTICIDAL COMPOSITION""","BIOTECHNOLOGY","29","22","19/04/2023"
"01/2017","06/01/2017","Kolkata","CONVENTION APPLICATION","1567/KOL/2007","21/11/2007","COLORING ELECTROANATOMICAL MAPS TO INDICATE ULTRASOUND DATA ACQUISITION","BIOMEDICAL","37","24","19/04/2023"
"01/2017","06/01/2017","Mumbai","ORDINARY APPLICATION","1570/MUM/2009","02/07/2009","AN IMPROVED PROCESS FOR RECOVERY OF PROPYLENE AND LPG FROM FCC FUEL GAS USING STRIPPED MAIN COLUMN OVERHEAD DISTILLATE AS ABSORBER OIL","CHEMISTRY","14","6","19/04/2023"
"01/2017","06/01/2017","Delhi","DIVISIONAL ORDINARY APPLICATION","1579/DEL/2008","01/07/2008","REFRIGERATOR","MECHANICAL","44","34","19/04/2023"
"01/2017","06/01/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","1647/KOLNP/2008","24/04/2008","APPARATUS AND METHOD FOR SUPPLYING LUBRICANT IN ENDLESS HOT ROLLING EQUIPMENT","MECHANICAL","28","20","19/04/2023"
"01/2017","06/01/2017","Delhi","PCT NATIONAL PHASE APPLICATION","1687/DELNP/2011","08/03/2011","""NOVEL ACTIVE CLAY AND DECOLORIZING AGENT FOR ANIMAL AND PLANT FATS AND OILS OR FOR MINERAL OILS""","CHEMISTRY","26","5","19/04/2023"
"01/2017","06/01/2017","Delhi","PCT NATIONAL PHASE APPLICATION","1695/DELNP/2010","11/03/2010","MILD ALKALINE PRETREATMENT AND SIMULTANEOUS SACCHARIFICATION AND FERMENTATION OF LIGNOCELLULOSIC BIOMASS INTO ORGANIC ACIDS","BIOCHEMISTRY","35","22","19/04/2023"
"01/2017","06/01/2017","Kolkata","CONVENTION APPLICATION","1696/KOL/2008","30/09/2008","SOLENOID-VALVE UNIT FOR AN ELECTROPNEUMATIC CONTROLLER","ELECTRICAL","27","41","19/04/2023"
"01/2017","06/01/2017","Kolkata","ORDINARY APPLICATION","170/KOL/2010","23/02/2010","A SINE WAVE STEPLESS DUMP LOAD FOR FREQUENCY CONTROL OF WEAK GRID","COMPUTER","13","8","19/04/2023"
"01/2017","06/01/2017","Delhi","CONVENTION APPLICATION","171/DEL/2009","29/01/2009","""IMAGE CAPTURING SYSTEM AND METHOD FOR THE ANALYSIS OF IMAGE DATA""","COMPUTER","34","37","19/04/2023"
"01/2017","06/01/2017","Delhi","CONVENTION APPLICATION","1746/DEL/2004","16/09/2004","""TURBOJET AXISYMMETRIC NOZZLE CONTROLED HOT FLAP SHUTTER""","MECHANICAL","14","6","19/04/2023"
"01/2017","06/01/2017","Delhi","CONVENTION APPLICATION","1763/DEL/2008","25/07/2008","""A MOBILE WIRELESS DEVICE FOR WIRELESS COMMUNICATIONS""","ELECTRONICS","107","12","19/04/2023"
"01/2017","06/01/2017","Chennai","CONVENTION APPLICATION","1768/CHE/2009","27/07/2009","""OPTIMIZING GRACE PERIOD DETECTION FOR PREEMPTIBLE READ-COPY UPDATE ON UNIPROCESSOR SYSTEMS""","ELECTRICAL","45","7","19/04/2023"
"01/2017","06/01/2017","Kolkata","CONVENTION APPLICATION","1879/KOL/2008","03/11/2008","METHOD FOR CONTROLLING AN ENGINE FOR TORQUE MANAGEMENT IN A HYBRID POWERTRAIN SYSTEM","MECHANICAL","49","9","19/04/2023"
"01/2017","06/01/2017","Delhi","PCT NATIONAL PHASE APPLICATION","1899/DELNP/2010","18/03/2010","""METHOD FOR THE COPRODUCTION OF METHYL 7-OXOHEPTANOATE AND UNDECYLENIC ACID FORM RICINOLEIC ACID""","BIOCHEMISTRY","14","3","19/04/2023"
"01/2017","06/01/2017","Kolkata","CONVENTION APPLICATION","1904/KOL/2008","03/11/2008","METHOD AND APPARATUS TO PRIORITIZE INPUT ACCELERATION AND CLUTCH SYNCHRONIZATION PERFORMANCE IN NEUTRAL FOR A HYBRID POWERTRAIN SYSTEM","MECHANICAL","85","10","19/04/2023"
"01/2017","06/01/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","1907/MUMNP/2010","09/09/2010","CONDITIONING SHAMPOO COMPOSITION","CHEMISTRY","22","3","19/04/2023"
"01/2017","06/01/2017","Kolkata","CONVENTION APPLICATION","1944/KOL/2008","03/11/2008","METHOD FOR CONTROLLING ENGINE TORQUE FOR A HYBRID POWERTRAIN SYSTEM","MECHANICAL","79","9","19/04/2023"
"01/2017","06/01/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","1945/MUMNP/2011","16/09/2011","""METHOD FOR PREPARING ACYCLOVIR 2/3 HYDRATE""","CHEMISTRY","19","10","19/04/2023"
"01/2017","06/01/2017","Delhi","PCT NATIONAL PHASE APPLICATION","1987/DELNP/2009","25/03/2009","""A MAGNETIC CLAMPING SYSTEM FOR A SHALE SHAKER AND METHOD OF REPLACING A SCREEN THEREOF""","MECHANICAL","31","25","19/04/2023"
"01/2017","06/01/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","1994/KOLNP/2010","01/06/2010","A WIRELESS COMMUNICATION DEVICE AND METHOD FOR PROVIDING A HEARING AID COMPATIBLE DEVICE","ELECTRONICS","27","20","19/04/2023"
"01/2017","06/01/2017","Kolkata","CONVENTION APPLICATION","2009/KOL/2008","17/11/2008","STRADDLE-TYPE VEHICLE","MECHANICAL","21","5","19/04/2023"
"01/2017","06/01/2017","Mumbai","ORDINARY APPLICATION","201/MUM/2008","29/01/2008","WATER HYDROGEN FUEL FOR AUTOMOBILES WITH NANO NATRUM EMULSION","CHEMISTRY","15","2","19/04/2023"
"01/2017","06/01/2017","Mumbai","ORDINARY APPLICATION","2027/MUM/2007","11/10/2007","JAW ASSEMBLY CONNECTING CRADLE TERMINAL AND FIXED BREAKER TERMINAL FOR A DRAW OUT CIRCUIT BREAKER","ELECTRICAL","17","7","19/04/2023"
"01/2017","06/01/2017","Delhi","PCT NATIONAL PHASE APPLICATION","2036/DELNP/2008","10/03/2008","""MULTI-SPEED COMPOUND VEHICULAR TRANSMISSION HAVING AN AUXILIARY SECTION WITH THREE COUNTERSHAFTS""","MECHANICAL","15","9","19/04/2023"
"01/2017","06/01/2017","Chennai","PCT NATIONAL PHASE APPLICATION","2055/CHENP/2008","25/04/2008","A METHOD OF REMOVING NITROUS OXIDE","CHEMISTRY","34","19","19/04/2023"
"01/2017","06/01/2017","Delhi","ORDINARY APPLICATION","2079/DEL/2007","04/10/2007","""A GEO HAZARD GALLERY TO PROTECT HIGHWAY/RAILWAY SYSTEM FROM GEO-HAZARD""","CIVIL","27","10","19/04/2023"
"01/2017","06/01/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","2128/MUMNP/2008","06/10/2008","METHOD FOR SEPARATING HIGH ASPECT RATIO MOLECULAR STRUCTURES","MECHANICAL","42","15","19/04/2023"
"01/2017","06/01/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","2142/KOLNP/2010","11/06/2010","METHOD FOR REDUCING THE POWER CONSUMPTION IN A MOBILE RADIO NETWORK WITH AT LEAST TWO SUPPLY LAYERS","ELECTRONICS","16","9","19/04/2023"
"01/2017","06/01/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","2164/KOLNP/2009","09/06/2009","METHOD FOR PRODUCING A TRANSFORMER COIL, AND A TRANSFORMER COIL PRODUCED USING THIS METHOD","ELECTRICAL","16","9","19/04/2023"
"01/2017","06/01/2017","Chennai","PCT NATIONAL PHASE APPLICATION","2185/CHENP/2009","20/04/2009","SULFONYLPYRAZOLE AND SULFONYLPYRAZOLINE CARBOXAMIDINE DERIVATIVES AS 5-HT6 ANTAGONISTS","CHEMISTRY","77","15","19/04/2023"
"01/2017","06/01/2017","Chennai","ORDINARY APPLICATION","2208/CHE/2009","14/09/2009","METHOD AND APPARATUS FOR SWITCHING DEVICES USING NEAR FIELD COMMUNICATION","ELECTRONICS","47","20","19/04/2023"
"01/2017","06/01/2017","Chennai","PCT NATIONAL PHASE APPLICATION","2212/CHENP/2008","05/05/2008","""METHOD AND SYSTEM FOR PET IMAGE RECONSTRUCTION USING A SURROGATE IMAGE""","ELECTRICAL","21","22","19/04/2023"
"01/2017","06/01/2017","Kolkata","CONVENTION APPLICATION","225/KOL/2008","07/02/2008","ELECTRIC SWITCHGEAR","ELECTRICAL","18","10","19/04/2023"
"01/2017","06/01/2017","Delhi","CONVENTION APPLICATION","226/DEL/2006","27/01/2006","""SYSTEM DATA INTERFACES, RELATED ARCHITECTURES, PRINT SYSTEM DATA INTERFACES AND RELATED PRINT SYSTEM ARCHITECTURES""","COMPUTER","155","20","19/04/2023"
"01/2017","06/01/2017","Delhi","PCT NATIONAL PHASE APPLICATION","2341/DELNP/2010","06/04/2010","""IMPACT RESISTANT, FLAME RETARDANT THERMOPLASTIC MOLDING COMPOSITION""","POLYMER","27","9","19/04/2023"
"01/2017","06/01/2017","Chennai","PCT NATIONAL PHASE APPLICATION","2384/CHENP/2010","23/04/2010","METHOD OF SETTING PERFORMANCE CHARACTERISTIC OF PUMP AND METHOD OF MANUFACTURING DIFFUSER VANE","MECHANICAL","24","3","19/04/2023"
"01/2017","06/01/2017","Chennai","ORDINARY APPLICATION","2395/CHE/2008","29/09/2008","INTEGRATED BALANCING AND COOLING SYSTEM FOR IC ENGINE","MECHANICAL","17","10","19/04/2023"
"01/2017","06/01/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","2415/KOLNP/2008","16/06/2008","A MULTICARRIER MODULATION METHOD","ELECTRICAL","75","16","19/04/2023"
"01/2017","06/01/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","2490/KOLNP/2010","08/07/2010","RADIO COMMUNICATION APPARATUS","ELECTRONICS","50","11","19/04/2023"
"01/2017","06/01/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","250/KOLNP/2011","17/01/2011","BANDWIDTH REQUEST METHOD AND BANDWIDTH ALLOCATION METHOD IN BROADBAND WIRELESS ACCESS SYSTEM","ELECTRONICS","51","15","19/04/2023"
"01/2017","06/01/2017","Delhi","PCT NATIONAL PHASE APPLICATION","2549/DELNP/2006","05/05/2006","""A WAVELENGTH SELECTIVE MANUPULATION DEVICE AND METHOD THEREOF""","PHYSICS","35","25","19/04/2023"
"01/2017","06/01/2017","Chennai","ORDINARY APPLICATION","2609/CHE/2008","28/10/2008","SYSTEM AND METHOD OF INTEGRATED NATIONAL CITIZEN IDENTITY MANAGEMENT AND E-GOVERNANCE","COMPUTER","166","54","19/04/2023"
"01/2017","06/01/2017","Chennai","PCT NATIONAL PHASE APPLICATION","269/CHENP/2008","17/01/2008","A SHUT-OFF VALVE FOR CRYOGENIC MEDIA","MECHANICAL","14","15","19/04/2023"
