PUBLICATION_NUMBER,PUBLICATION_DATE,IPO_LOCATION,APPLICATION_TYPE_DESC,APPLICATION_NUMBER,DATE_OF_FILING,TITLE_OF_INVENTION,FIELD_OF_INVENTION,NO_OF_PAGES,NO_OF_CLAIMS,DATE_UPDATED_d_m_y
Jan-23,6/1/2023,Mumbai,PCT NATIONAL PHASE APPLICATION,10/MUMNP/2013,2/1/2013,DIESEL ENGINE AND EXHAUST AFTERTREATMENT SYSTEM AND METHOD OF TREATING EXHAUST GASES FROM A DIESEL ENGINE,CHEMISTRY,16,18,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,10044/DELNP/2015,27/10/2015,VEHICLE CONTROL DEVICE,MECHANICAL,29,7,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,10065/DELNP/2013,22/11/2013,MULTIPLE ANTIGEN PRESENTING IMMUNOGENIC COMPOSITION  AND METHODS AND USES THEREOF,BIOTECHNOLOGY,107,78,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,10088/DELNP/2013,25/11/2013,METHOD FOR CLEANING AND STRIPPING A TURBOSHAFT ENGINE BLADE USING A PULSED LASER,MECHANICAL,19,10,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,10104/DELNP/2012,21/11/2012,MATERIAL TREATMENT AND APPARATUS,MECHANICAL,22,11,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,10107/DELNP/2013,25/11/2013,ISOLATION AND PROTECTION CIRCUIT FOR A RECEIVER IN A WIRELESS COMMUNICATION DEVICE,ELECTRONICS,15,12,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,10121/DELNP/2014,27/11/2014,SYSTEM AND METHODS FOR MANAGING BLOOD LOSS OF A PATIENT,MECHANICAL,53,23,19/04/2023
Jan-23,6/1/2023,Kolkata,CONVENTION APPLICATION,1019/KOL/2015,25/09/2015,DIAGONAL DRAW BAR STRUCTURE HAVING MICRO VENTILATION FUNCTION,MECHANICAL,18,10,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,10213/DELNP/2013,27/11/2013,METHOD FOR PRODUCING SOLID MATERIAL FROM SACCHARIDE SOLUTION  AND SOLID MATERIAL,FOOD,41,4,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,10228/DELNP/2015,3/11/2015,ADAPTER CAPS FOR SAMPLE COLLECTION CONTAINERS AND ASSOCIATED MOLDS WITH CORE PINS AND RELATED METHODS,CHEMISTRY,33,24,19/04/2023
Jan-23,6/1/2023,Mumbai,ORDINARY APPLICATION,1023/MUM/2008,13/05/2008,A PROCESS FOR MAKING A PET FILM WITH LOW OLIGOMER CONTENTS,POLYMER,13,10,19/04/2023
Jan-23,6/1/2023,Chennai,PCT NATIONAL PHASE APPLICATION,10275/CHENP/2013,25/12/2013,LAUNCHER FOR CONTEXT BASED MENUS,COMPUTER,33,15,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,10455/DELNP/2012,30/11/2012,INSPECTION SYSTEM,PHYSICS,70,26,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,1047/DELNP/2015,9/2/2015,SOFT ABSORBENT SANDWICH WEB COMPRISING HIGH CONCENTRATIONS OF SUPERABSORBENT MATERIAL  CELLULOSIC FIBERS AND SURFACE APPLIED BINDER,BIOMEDICAL,29,13,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,10472/DELNP/2014,9/12/2014,METHOD AND APPARATUS FOR FIREARM RECOIL SIMULATION,MECHANICAL,72,36,19/04/2023
Jan-23,6/1/2023,Mumbai,ORDINARY APPLICATION,1049/MUM/2010,31/03/2010,SHIELDING OF FLUX SHIFT DEVICE,ELECTRICAL,17,10,19/04/2023
Jan-23,6/1/2023,Delhi,ORDINARY APPLICATION,1050/DEL/2011,11/4/2011,"""A STATOR STAGE FOR A TURBOMACHINE COMPRESSOR""",MECHANICAL,16,11,19/04/2023
Jan-23,6/1/2023,Mumbai,ORDINARY APPLICATION,1051/MUM/2015,27/03/2015,AN AUTOMATED NEEDLE HOLDER AND SUTURING DEVICE,BIOMEDICAL,43,27,19/04/2023
Jan-23,6/1/2023,Delhi,PCT NATIONAL PHASE APPLICATION,10541/DELNP/2015,17/11/2015,POLYURETHANE FOAM FOR USE AS SOIL IMPROVER,CHEMISTRY,35,11,19/04/2023
Jan-23,6/1/2023,Chennai,PCT NATIONAL PHASE APPLICATION,10583/CHENP/2012,19/12/2012,METHOD AND ARRANGEMENT IN ARRANGING AN ALUMINIUM FERRULE TO A HIGH STRENGTH EYE OF A STEEL WIRE,MECHANICAL,15,6,19/04/2023
Jan-23,6/1/2023,Kolkata,CONVENTION APPLICATION,1062/KOL/2013,12/9/2013,"OUTLET FITTING, BASIC BODY AND OUTLET BODY THEREFOR",CIVIL,25,14,19/04/2023
Jan-23,6/1/2023,Kolkata,PCT NATIONAL PHASE APPLICATION,1065/KOLNP/2015,17/04/2015,METHOD FOR WARM WORKING STAINLESS STEEL FOIL AND MOLD FOR WARM WORKING,MECHANICAL,26,6,19/04/2023
